azip1a"state"a"yhat"
18a08232aa12820547.597165996
19a08232aa12795357.15619126
20a08232aa12152612.035134366
21a08232aa12271252.207918804
22a08232aa12318080.699313987
18a08241aa12820547.597165996
19a08241aa12795357.15619126
20a08241aa12152612.035134366
21a08241aa12271252.207918804
22a08241aa12318080.699313987
18a08401aa12820547.597165996
19a08401aa12795357.15619126
20a08401aa12152612.035134366
21a08401aa12271252.207918804
22a08401aa12318080.699313987
18a11216aa91778817.9994882
19a11216aa93429827.2895206
20a11216aa96125417.74512103
21a11216aa99242471.57896912
22a11216aa101625904.0482376
18a19013aa31144293.15882517
19a19013aa31465111.63017254
20a19013aa31643328.29948086
21a19013aa32397360.507945493
22a19013aa32934766.436208777
18a90020aa730521799.4038552
19a90020aa753193702.5806748
20a90020aa764183013.8778563
21a90020aa786837864.0466176
22a90020aa809505215.6385825
18a90027aa730521799.4038552
19a90027aa753193702.5806748
20a90027aa764183013.8778563
21a90027aa786837864.0466176
22a90027aa809505215.6385825
18a90403aa730521799.4038552
19a90403aa753193702.5806748
20a90403aa764183013.8778563
21a90403aa786837864.0466176
22a90403aa809505215.6385825
18a91108aa730521799.4038552
19a91108aa753193702.5806748
20a91108aa764183013.8778563
21a91108aa786837864.0466176
22a91108aa809505215.6385825
