GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1085,"Lowndes, AL",393110,338163,400235,446058,429070,479738,492993,435667,437164,494806,516263,444095,450585,435293,414680,410956,415054,413334
1087,"Macon, AL",452226,433552,434767,466299,467886,488607,486614,497313,491510,477590,496545,485252,500703,453815,437082,437693,427667,437305
1089,"Madison, AL",12886125,13422031,14116775,15352723,16208756,16822017,17480531,18200925,18453265,19360171,19640507,19512201,19550363,19569526,19888881,20314558,20825274,21707550
1091,"Marengo, AL",621350,630573,622335,665703,708775,749654,715715,671668,682547,680196,663347,670787,671303,682733,673931,678430,650660,657507
1093,"Marion, AL",735316,756558,745704,835038,894395,927480,888739,828921,802548,797256,777090,797023,798120,762205,779032,759279,773143,804250
1095,"Marshall, AL",2502923,2532970,2587492,2777480,2812420,2832969,2894447,2822160,2638577,2678560,2690281,2763122,2893630,2804226,2830730,2864795,2943251,3061736
1097,"Mobile, AL",14621987,14797953,14975373,15459354,16096293,16952589,16998538,17368521,17249893,17517906,17972915,17901892,17845591,17664949,17548197,17901624,17642633,17882906
1099,"Monroe, AL",801351,783874,789193,878920,914560,971400,897132,854334,811890,783775,740690,665614,617179,590640,611360,610770,610310,618262
1101,"Montgomery, AL",11114440,11376969,11581279,11947716,12434113,12661776,12432621,12502410,11909735,12172550,12280212,12235434,12195011,12063870,12294898,12473078,12457671,12633330
1103,"Morgan, AL",4150602,4129346,4343071,4740303,4670903,4874633,4884995,4721341,4499049,4546507,4471829,4515001,4509257,4606569,4665658,4808714,4827146,4980085
1105,"Perry, AL",190109,188140,198267,198070,215944,230044,216804,231433,223584,242456,222817,229993,236675,208989,203560,198292,191859,183432
1107,"Pickens, AL",353869,353324,348982,368936,393022,368067,373863,352948,381096,373524,331090,343674,409722,405981,407990,399004,389315,390766
1109,"Pike, AL",820505,869987,912024,991693,1041517,1096756,1144877,1186072,1177545,1249027,1169946,1176489,1172034,1247401,1305018,1327688,1315469,1309102
1111,"Randolph, AL",394966,426737,424950,475130,475426,474925,467921,441018,421580,427455,381076,391438,434152,431378,438364,415983,418763,427804
1113,"Russell, AL",1131578,1092116,1054566,1135481,1149295,1218039,1199231,1198480,1231200,1276856,1264031,1265157,1286216,1360235,1417799,1437492,1427776,1472862
1115,"St. Clair, AL",1231422,1288618,1312994,1386416,1427231,1469447,1518692,1506989,1394672,1461502,1521625,1624555,1684900,1677557,1666235,1694102,1718514,1764952
1117,"Shelby, AL",5296416,5638862,6012694,6401517,7292359,7628604,8342430,8193684,7669652,7797678,7992672,8268481,8488592,8828571,9434367,9427502,9929586,10317323
1119,"Sumter, AL",315285,316994,318729,323496,340589,341675,343626,309488,331113,342724,341650,351774,352036,349841,353400,359431,335668,326706
1121,"Talladega, AL",1922405,2055365,2430843,2864610,3080886,3062334,2865973,2754134,2270441,2521324,2654063,2767076,2882631,2845808,2820169,2795690,2745857,2840194
1123,"Tallapoosa, AL",923328,870947,934022,1048494,1149114,1048208,1016019,1004008,929013,1052374,1108718,1146236,1108429,1156405,1189686,1222578,1146322,1186139
1125,"Tuscaloosa, AL",7328233,7698549,8015875,8530892,9003684,9115223,9647691,9308394,8534262,8842537,9805516,9382954,9396419,8908643,8593630,8509273,8775197,9042556
1127,"Walker, AL",1685890,1752691,1854872,1914739,1965379,1959764,1937258,1941768,1890176,1936751,1864091,1795958,1827116,1805542,1942586,1871326,1942619,2058416
1129,"Washington, AL",782072,717759,756529,810196,739869,831119,892914,805643,829878,887961,820195,742552,768126,824443,727863,778980,775076,799290
1131,"Wilcox, AL",372249,368977,343755,404917,419130,449395,418295,389575,428471,400263,369260,353909,371412,366044,372273,379381,373667,378418
1133,"Winston, AL",633158,634437,605230,653705,692037,714442,679190,628080,570603,618285,621899,618744,637526,613138,629762,623036,650751,667455
2013,"Aleutians East Borough, AK*",189604,142263,164478,206328,200454,204559,225784,234641,243896,163829,131394,124827,141926,137577,181353,194592,201690,201612
2016,"Aleutians West Census Area, AK*",323520,320705,365604,392096,484880,437653,416502,371475,359587,320363,344181,367118,386601,379178,371005,367795,347146,353175
2020,"Anchorage Municipality, AK",16361468,16503578,16777032,16994983,17587417,17669892,18048410,18932459,19513306,20359679,20649716,20750943,20209436,20090732,20856627,20413792,19985366,20329942
2050,"Bethel Census Area, AK*",506600,558900,582679,580845,578589,522055,518367,508945,539597,570648,616282,632455,630798,615715,611875,606090,608355,625190
2060,"Bristol Bay Borough, AK",84036,83486,96566,103614,119712,134581,147898,130677,137434,125599,116902,112665,121438,120360,113052,116004,114238,130341
2068,"Denali Borough, AK*",174435,175511,169601,183344,187420,190690,191819,218740,207183,200436,188256,189064,243914,250732,243176,233441,234794,237263
2070,"Dillingham Census Area, AK*",215343,216639,216803,209134,218315,214825,214170,212489,229574,239924,236562,238161,240262,248871,249674,243808,242542,248432
2090,"Fairbanks North Star Borough, AK",5882757,5077583,5149799,5252193,5486300,5740709,5886569,6272390,6192418,6172331,5824354,5562537,5511508,5596635,5599363,5572193,5582087,5654089
2100,"Haines Borough, AK",72851,71962,71291,77976,81213,86425,87028,84716,87021,89227,87093,86324,91741,89945,93788,91604,95983,98959
2105,"Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),57374,68390,68798,69522,73050,75321,75422,85838,81045,81947,83216
2110,"Juneau City and Borough, AK",1916495,1888255,1949977,1970000,2000551,2152163,2244967,2100196,2110486,2277922,2329491,2326725,2321051,2315389,2221936,2237416,2294784,2298214
2122,"Kenai Peninsula Borough, AK",2485244,2546351,2584233,2629499,2383580,2540112,2556423,2510535,2602123,2619579,2616993,2633175,2724561,2903473,2901418,2833117,2788536,2808539
2130,"Ketchikan Gateway Borough, AK*",696168,683267,683857,679372,707285,719239,764577,785957,817393,808012,821945,831304,835302,816635,818853,797981,791585,800724
2150,"Kodiak Island Borough, AK",623210,609857,632062,642568,655332,670171,686694,681607,722212,713610,727508,742360,760936,757383,767476,713809,711871,715043
2158,"Kusilvak Census Area, AK*",106667,109296,119495,120488,116664,114412,120527,123773,130238,131654,139744,145467,141873,150106,145175,146585,142129,144996
2164,"Lake and Peninsula Borough, AK*",69236,70687,63904,66490,65750,77480,143379,95242,79537,76551,79409,82977,83934,82176,79081,76957,84208,88124
2170,"Matanuska-Susitna Borough, AK",1275690,1405812,1498737,1575700,1663869,1696775,1716810,1781409,1866444,2009903,2119024,2168902,2170034,2197992,2288760,2260538,2207986,2266408
2180,"Nome Census Area, AK*",324309,346185,354859,367833,367753,342086,403410,431071,360342,416497,425090,397967,397620,406581,412660,380519,392868,396694
2185,"North Slope Borough, AK",7203574,10011922,7725494,8773745,9289863,11552649,12863812,12423924,16288390,13212577,13600945,15957812,13120436,11403189,11130682,10567213,11231169,10469543
2188,"Northwest Arctic Borough, AK",658749,560392,565155,594013,606515,769163,871782,677201,674566,746798,706085,603002,627183,642301,577594,591812,680814,696765
2195,"Petersburg Borough, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),200074,190169,193426,188595,175481,172825,195546,185565,175901,172178
2198,"Prince of Wales-Hyder Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),231922,226664,222606,203440,217130,215268,222437,229481,222055,219255
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",178271,185838,187000,185236,172310,164916,164539,156659,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2220,"Sitka City and Borough, AK",392371,393852,408620,401215,410245,414735,408816,407512,429265,455206,473727,499040,512245,488399,474614,430768,429859,443526
2230,"Skagway Municipality, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),72146,88239,88324,83946,95333,92839,89032,89024,95080,95733,95346
2232,"Skagway-Hoonah-Angoon Census Area, AK*",145599,147751,139865,129102,127670,135025,137980,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2240,"Southeast Fairbanks Census Area, AK*",419605,294439,321006,336136,470260,709070,898904,763344,772745,807625,754554,605413,624165,614490,558749,594212,640754,637943
2261,"Valdez-Cordova Census Area, AK*",582785,1353086,1549953,1635982,1430497,1359895,1396579,984722,806838,747114,663145,1532217,1906568,2119904,2174869,2157680,2173189,2331614
2275,"Wrangell City and Borough, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),76829,78412,77195,79155,83514,86131,96477,100629,92788,94120
2280,"Wrangell-Petersburg Census Area, AK*",332590,323328,298170,271277,260083,282838,255075,212447,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2282,"Yakutat City and Borough, AK*",29045,28924,28783,31803,32131,33534,38295,35366,33124,34781,35157,38019,43014,40545,34590,28345,27057,28420
2290,"Yukon-Koyukuk Census Area, AK*",451742,306529,308109,285129,271279,307498,358232,324700,314117,365772,415992,402084,299631,245613,247510,260813,258303,273529
4001,"Apache, AZ",2157909,2104160,2162213,2122674,2181773,2279708,2364959,2567183,2570679,2785051,2836057,2728727,2726523,2515879,2502406,2509130,2544096,2619469
4003,"Cochise, AZ",3368712,3426308,3672167,3788756,4037623,4282368,4529915,4542087,4548902,4683595,4658074,4437565,4275159,4202419,4205478,4315749,4259736,4404134
4005,"Coconino, AZ",4900475,4987211,5091959,5290301,5570893,5904109,6298236,6145698,5861421,6109513,6492493,6155174,6298365,6202742,6251840,6396139,6753461,6770442
4007,"Gila, AZ",1424911,1404050,1429942,1494811,1542732,1774778,1952240,1836713,1855315,1907952,2032225,1909738,2156567,2057898,1975267,1895553,1979124,1985337
4009,"Graham, AZ",539836,567513,608353,642659,690752,768169,919035,826649,760425,792129,840670,912285,840474,835859,838174,971213,1024616,1097980
4011,"Greenlee, AZ",1147227,1035640,1144743,1357128,1698032,1954742,2004391,2152033,1510459,1595303,1711228,1532472,1657187,1902764,1603588,1447670,1764250,1771158
4012,"La Paz, AZ",463472,478327,517619,576459,628435,666228,700388,631755,573496,566076,626720,586515,584838,549558,554228,582158,582552,602409
4013,"Maricopa, AZ",145484415,150558586,160946947,169494858,184184658,193802656,196923543,190844935,173871857,174800583,179624976,186117181,187689460,191251116,197556651,204282531,211308745,220789933
4015,"Mohave, AZ",3777791,4135021,4264150,4583531,4867505,5222536,5299272,5082442,4665117,4620074,4554414,4503558,4581620,4687175,4700479,4841032,4900560,5068013
4017,"Navajo, AZ",2828465,2914601,3043242,2928383,3208935,3372412,3513815,3395708,3355168,3297912,3381063,3315681,3341999,3253457,3277796,3227185,3380361,3535546
4019,"Pima, AZ",31824593,31616113,33669365,33252558,35309455,36685219,38516783,38402048,35699685,36396420,36211311,36431583,36117263,36221971,36108903,37134412,38636977,40011352
4021,"Pinal, AZ",4136322,4437815,4713389,4838632,5243074,5874402,6782266,6694872,6255710,6223457,6772632,6682699,6414767,6688399,6467645,6590811,6571381,6936698
4023,"Santa Cruz, AZ",1264559,1268493,1437563,1357066,1428520,1441273,1490816,1522271,1469304,1525662,1567043,1546534,1531088,1525809,1538667,1544234,1620780,1701223
4025,"Yavapai, AZ",4414231,4640690,4965605,5332054,5900211,6334353,6405371,6208612,5725160,5547655,5405878,5400875,5504087,5713227,5837276,6038037,6263132,6481866
4027,"Yuma, AZ",4807277,5566126,5425953,5949944,6374305,6823217,7193042,6644046,6340003,6626379,6485708,6028238,6438174,6100802,6776399,7370372,7783381,7874389
5001,"Arkansas, AR",727631,768008,850336,911028,851122,889229,832864,869819,951699,929912,927894,939725,1052451,988610,1004316,1064308,1011497,1028895
5003,"Ashley, AR",781075,802057,791429,806517,848248,911966,903371,889183,849384,891899,936622,920808,967651,951420,893843,910844,896476,907876
5005,"Baxter, AR",964516,996295,988410,1017491,1081018,1122712,1147104,1183861,1101945,1147937,1167938,1083263,1085763,1109393,1101296,1094691,1102545,1131278
5007,"Benton, AR",6663860,7338231,7783240,8451017,9107615,9114321,9060595,9021700,8644020,9187429,9519975,9989941,10786454,11452652,11874454,12095992,12846262,13245065
5009,"Boone, AR",1031483,1061997,1040480,1091118,1133135,1177401,1172014,1152946,1080067,1136289,1151412,1127099,1097126,1113702,1106264,1113842,1117118,1150136
