,state,year_idx,yhat,rmse
18,NV,18,302812.4408,70635.79092
19,NV,19,305155.8499,70635.79092
20,NV,20,310501.4316,70635.79092
21,NV,21,313288.555,70635.79092
17,NY,17,310698.115,30967.58169
18,NY,18,320130.2563,30967.58169
19,NY,19,328925.2112,30967.58169
20,NY,20,333551.2571,30967.58169
21,NY,21,343619.1453,30967.58169
17,OH,17,129124.4986,9077.271214
18,OH,18,130424.8904,9077.271214
19,OH,19,131786.1238,9077.271214
20,OH,20,131548.6993,9077.271214
21,OH,21,132787.7786,9077.271214
17,OK,17,97874.59736,436.9628121
18,OK,18,100766.7306,436.9628121
19,OK,19,103686.5559,436.9628121
20,OK,20,106817.4345,436.9628121
21,OK,21,109685.3373,436.9628121
17,OR,17,283832.6851,29343.03096
18,OR,18,290475.6513,29343.03096
19,OR,19,297120.5522,29343.03096
20,OR,20,306390.3551,29343.03096
21,OR,21,313032.1834,29343.03096
17,PA,17,201133.0869,17303.95891
18,PA,18,205898.1472,17303.95891
19,PA,19,210156.7692,17303.95891
20,PA,20,213434.6814,17303.95891
21,PA,21,218705.7602,17303.95891
17,RI,17,298054.3074,50140.23449
18,RI,18,306242.2102,50140.23449
19,RI,19,314002.8341,50140.23449
20,RI,20,313768.2325,50140.23449
21,RI,21,322380.8748,50140.23449
17,SC,17,199803.7926,17734.501
18,SC,18,204598.5578,17734.501
19,SC,19,209123.4814,17734.501
20,SC,20,210683.2677,17734.501
21,SC,21,215746.8961,17734.501
17,SD,17,101468.3789,914.6119942
18,SD,18,106938.5129,914.6119942
19,SD,19,112318.3754,914.6119942
20,SD,20,119116.7446,914.6119942
21,SD,21,124679.6663,914.6119942
17,TN,17,146605.4273,8408.829914
18,TN,18,149348.1414,8408.829914
19,TN,19,152332.4127,8408.829914
20,TN,20,155174.4689,8408.829914
21,TN,21,157675.6217,8408.829914
17,TX,17,195232.669,12387.35033
18,TX,18,198789.4612,12387.35033
19,TX,19,203550.7056,12387.35033
20,TX,20,208913.5502,12387.35033
21,TX,21,211266.3439,12387.35033
17,UT,17,276682.8585,24984.57925
18,UT,18,281779.3846,24984.57925
19,UT,19,288181.5523,24984.57925
20,UT,20,294172.1384,24984.57925
21,UT,21,297963.185,24984.57925
17,VA,17,362436.9449,43236.84087
18,VA,18,371538.6637,43236.84087
19,VA,19,379656.3193,43236.84087
20,VA,20,390873.5287,43236.84087
21,VA,21,400960.022,43236.84087
17,VT,17,238415.0789,19575.32384
18,VT,18,245632.4365,19575.32384
19,VT,19,252266.1804,19575.32384
20,VT,20,257146.6892,19575.32384
21,VT,21,264946.9802,19575.32384
17,WA,17,334676.5897,39671.3693
18,WA,18,342564.8976,39671.3693
19,WA,19,350675.0681,39671.3693
20,WA,20,361904.5125,39671.3693
21,WA,21,369571.9464,39671.3693
17,WI,17,216938.8834,17881.91277
18,WI,18,220766.8818,17881.91277
19,WI,19,224514.5693,17881.91277
20,WI,20,227028.8937,17881.91277
21,WI,21,230936.8332,17881.91277
17,WV,17,97762.81224,2429.08699
18,WV,18,98048.69657,2429.08699
19,WV,19,98392.53134,2429.08699
20,WV,20,100202.7468,2429.08699
21,WV,21,100431.2805,2429.08699
